iter	Passed	Remaining
300	458	1064
301	459	1062
302	461	1060
303	462	1059
304	464	1057
305	465	1055
306	466	1053
307	467	1050
308	468	1048
309	469	1046
310	471	1043
311	472	1041
312	473	1038
313	475	1037
314	476	1036
315	477	1034
316	479	1032
317	480	1030
318	481	1028
319	482	1025
320	483	1023
321	484	1020
322	485	1018
323	487	1016
324	488	1013
325	490	1013
326	491	1012
327	492	1010
328	494	1008
329	495	1006
330	496	1004
331	498	1002
332	499	999
333	500	997
334	501	995
335	502	992
336	503	990
337	505	989
338	506	988
339	508	986
340	509	984
341	511	983
342	512	981
343	513	978
344	514	976
345	515	974
346	516	972
347	517	970
348	519	968
349	520	967
350	522	965
351	523	963
352	524	961
353	525	959
354	527	957
355	528	955
356	529	953
357	530	951
358	531	948
359	532	946
360	533	944
361	535	944
362	537	942
363	538	940
364	539	938
365	540	936
366	541	934
367	542	932
368	544	930
369	545	928
370	546	926
371	547	924
372	548	922
373	550	921
374	551	919
375	553	919
376	555	917
377	556	915
378	557	913
379	559	912
380	561	911
381	562	910
382	564	909
383	566	908
384	568	907
385	569	905
386	570	904
387	572	902
388	573	900
389	574	898
390	576	897
391	577	895
392	578	894
393	581	894
394	583	893
395	585	892
396	586	891
397	588	890
398	590	888
399	591	887
400	592	885
401	593	883
402	595	882
403	597	880
404	598	879
405	600	878
406	601	876
407	602	874
408	603	872
409	604	870
410	605	868
411	606	866
412	608	864
413	609	862
414	611	862
415	613	860
416	614	859
417	615	857
418	616	855
419	617	853
420	619	851
421	620	849
422	621	847
423	622	845
424	623	843
425	624	841
426	626	840
427	628	839
428	629	837
429	630	835
430	631	833
431	632	831
432	633	829
433	634	827
434	635	825
435	636	823
436	638	822
437	639	820
438	641	819
439	642	818
440	643	816
441	645	814
442	646	812
443	647	810
444	648	808
445	649	806
446	650	805
447	652	803
448	653	801
449	654	799
450	656	798
451	657	797
452	659	795
453	660	793
454	661	792
455	662	790
456	663	788
457	664	786
458	665	784
459	666	782
460	667	780
461	669	779
462	670	777
463	672	776
464	673	775
465	674	773
466	675	771
467	676	769
468	678	767
469	679	765
470	680	764
471	681	762
472	682	760
473	684	759
474	686	758
475	688	757
476	689	755
477	690	753
478	691	751
479	692	750
480	693	748
481	694	746
482	695	744
483	696	742
484	698	741
485	699	739
486	701	738
487	702	737
488	703	735
489	705	733
490	706	732
491	708	731
492	710	730
493	711	728
494	712	727
495	713	725
496	714	723
497	716	722
498	718	721
499	719	719
500	720	717
501	721	716
502	723	714
503	724	712
504	725	711
505	726	709
506	727	707
507	728	705
508	730	704
509	732	703
510	733	702
511	734	700
512	736	698
513	737	697
514	738	695
515	739	694
516	741	692
517	743	691
518	744	690
519	747	689
520	748	688
521	750	687
522	751	685
523	752	683
524	754	682
525	755	681
526	756	679
527	758	677
528	759	675
529	760	674
530	762	673
531	763	671
532	765	670
533	766	668
534	767	667
535	768	665
536	769	663
537	770	662
538	772	660
539	773	658
540	774	656
541	775	655
542	777	654
543	779	653
544	780	651
545	781	649
546	782	647
547	783	646
548	784	644
549	785	642
550	786	641
551	788	639
552	789	638
553	790	636
554	792	635
555	794	634
556	795	632
557	798	632
558	800	631
559	801	629
560	802	628
561	804	627
562	807	626
563	809	625
564	811	624
565	813	623
566	814	622
567	816	621
568	820	621
569	823	621
570	828	622
571	829	620
572	831	619
573	832	618
574	835	617
575	846	623
576	851	623
577	855	624
578	862	627
579	865	626
580	867	625
581	868	623
582	874	625
583	878	625
584	880	624
585	882	623
586	892	628
587	896	627
588	898	627
589	906	630
590	908	628
591	909	626
592	910	624
593	911	623
594	914	622
595	915	620
596	919	620
597	921	619
598	922	617
599	924	616
600	925	614
601	927	612
602	929	611
603	932	611
604	934	610
605	936	609
606	938	607
607	939	605
608	941	604
609	942	602
610	944	601
611	946	599
612	950	600
613	952	598
614	953	596
615	954	595
616	956	593
617	957	591
618	958	590
619	960	588
620	961	586
621	963	585
622	966	585
623	968	583
624	969	581
625	971	580
626	972	578
627	974	577
628	975	575
629	978	574
630	980	573
631	982	571
632	983	570
633	984	568
634	986	566
635	987	565
636	988	563
637	989	561
638	990	559
639	992	558
640	995	557
641	996	555
642	997	553
643	998	551
644	999	550
645	1001	548
646	1002	546
647	1003	545
648	1004	543
649	1005	541
650	1007	540
651	1009	538
652	1011	537
653	1012	535
654	1013	533
655	1014	532
656	1015	530
657	1016	528
658	1018	526
659	1019	525
660	1020	523
661	1022	522
662	1024	520
663	1025	518
664	1026	517
665	1027	515
666	1028	513
667	1030	511
668	1031	510
669	1032	508
670	1033	506
671	1034	504
672	1035	503
673	1038	502
674	1040	500
675	1042	499
676	1043	497
677	1044	496
678	1046	494
679	1048	493
680	1049	491
681	1050	489
682	1051	488
683	1055	487
684	1056	486
685	1058	484
686	1059	482
687	1061	481
688	1062	479
689	1063	477
690	1064	476
691	1066	474
692	1069	473
693	1070	472
694	1072	470
695	1073	468
696	1074	466
697	1075	465
698	1076	463
699	1077	461
700	1078	460
701	1079	458
702	1080	456
703	1083	455
704	1085	454
705	1087	453
706	1089	451
707	1090	449
708	1091	448
709	1092	446
710	1093	444
711	1095	442
712	1096	441
713	1098	440
714	1100	438
715	1102	437
716	1104	435
717	1105	434
718	1107	432
719	1108	431
720	1109	429
721	1111	427
722	1114	426
723	1115	425
724	1116	423
725	1118	421
726	1119	420
727	1120	418
728	1122	417
729	1123	415
730	1124	413
731	1126	412
732	1130	411
733	1131	410
734	1133	408
735	1134	406
736	1135	405
737	1136	403
738	1137	401
739	1139	400
740	1139	398
741	1141	396
742	1143	395
743	1144	393
744	1146	392
745	1147	390
746	1148	389
747	1150	387
748	1151	385
749	1152	384
750	1154	382
751	1155	381
752	1157	379
753	1160	378
754	1161	377
755	1163	375
756	1165	374
757	1166	372
758	1168	370
759	1169	369
760	1171	367
761	1172	366
762	1174	364
763	1176	363
764	1178	362
765	1179	360
766	1180	358
767	1181	357
768	1182	355
769	1184	353
770	1185	352
771	1186	350
772	1188	349
773	1190	347
774	1191	345
775	1193	344
776	1194	342
777	1196	341
778	1197	339
779	1198	338
780	1200	336
781	1204	335
782	1206	334
783	1208	332
784	1209	331
785	1210	329
786	1212	328
787	1214	326
788	1216	325
789	1219	324
790	1222	323
791	1224	321
792	1226	320
793	1227	318
794	1229	316
795	1230	315
796	1232	313
797	1236	312
798	1237	311
799	1238	309
800	1240	308
801	1241	306
802	1242	304
803	1243	303
804	1245	301
805	1246	299
806	1247	298
807	1251	297
808	1253	295
809	1254	294
810	1255	292
811	1259	291
812	1261	290
813	1262	288
814	1264	287
815	1266	285
816	1268	284
817	1269	282
818	1271	281
819	1273	279
820	1274	277
821	1275	276
822	1278	274
823	1281	273
824	1282	272
825	1283	270
826	1285	268
827	1286	267
828	1287	265
829	1289	264
830	1290	262
831	1291	260
832	1292	259
833	1295	257
834	1297	256
835	1298	254
836	1299	253
837	1301	251
838	1302	250
839	1304	248
840	1305	246
841	1306	245
842	1310	244
843	1312	242
844	1313	241
845	1315	239
846	1316	237
847	1317	236
848	1318	234
849	1320	232
850	1321	231
851	1323	229
852	1325	228
853	1326	226
854	1327	225
855	1329	223
856	1330	221
857	1331	220
858	1332	218
859	1333	217
860	1334	215
861	1337	214
862	1339	212
863	1340	211
864	1341	209
865	1343	207
866	1344	206
867	1345	204
868	1346	203
869	1348	201
870	1349	199
871	1350	198
872	1351	196
873	1352	195
874	1354	193
875	1356	192
876	1357	190
877	1358	188
878	1360	187
879	1361	185
880	1362	184
881	1363	182
882	1364	180
883	1365	179
884	1366	177
885	1368	176
886	1370	174
887	1371	173
888	1372	171
889	1373	169
890	1374	168
891	1376	166
892	1377	165
893	1378	163
894	1379	161
895	1380	160
896	1381	158
897	1383	157
898	1385	155
899	1386	154
900	1387	152
901	1388	150
902	1390	149
903	1391	147
904	1392	146
905	1393	144
906	1394	142
907	1395	141
908	1396	139
909	1398	138
910	1401	136
911	1402	135
912	1404	133
913	1405	132
914	1406	130
915	1408	129
916	1409	127
917	1410	126
918	1411	124
919	1413	122
920	1415	121
921	1416	119
922	1418	118
923	1419	116
924	1420	115
925	1421	113
926	1423	112
927	1424	110
928	1425	108
929	1426	107
930	1427	105
931	1430	104
932	1432	102
933	1433	101
934	1434	99
935	1435	98
936	1436	96
937	1437	95
938	1438	93
939	1440	91
940	1441	90
941	1442	88
942	1444	87
943	1446	85
944	1447	84
945	1448	82
946	1449	81
947	1451	79
948	1452	78
949	1453	76
950	1454	74
951	1455	73
952	1456	71
953	1457	70
954	1459	68
955	1461	67
956	1463	65
957	1464	64
958	1465	62
959	1467	61
960	1468	59
961	1469	58
962	1470	56
963	1471	54
964	1473	53
965	1475	51
966	1477	50
967	1478	48
968	1479	47
969	1481	45
970	1482	44
971	1483	42
972	1485	41
973	1487	39
974	1492	38
975	1493	36
976	1495	35
977	1497	33
978	1498	32
979	1500	30
980	1501	29
981	1502	27
982	1505	26
983	1507	24
984	1508	22
985	1509	21
986	1511	19
987	1512	18
988	1513	16
989	1514	15
990	1515	13
991	1517	12
992	1518	10
993	1520	9
994	1522	7
995	1524	6
996	1526	4
997	1527	3
998	1528	1
999	1529	0
